Debris in Orbit: 0
Debris out of Orbit: 98
Debris ID: 21249 | Name: SL-8 DEB | Country: CIS | Orbit: LEO | Launch Year: 1991 | Longitude: -162.5254582 | Avg Longitude -98.07395074 | Geohash: "62.925556,40.577778" | Days Old: 12409
Debris ID: 28039 | Name: ARIANE 44L DEB | Country: FR | Orbit: HEO | Launch Year: 1991 | Longitude: -109.6053068 | Avg Longitude 33.16837829 | Geohash: "5.222222,-52.773611" | Days Old: 12437
Debris ID: 2700 | Name: DELTA 1 DEB | Country: US | Orbit: LEO | Launch Year: 1965 | Longitude: 69.41702735 | Avg Longitude 102.4315405 | Geohash: "28.4917337,-80.5825555" | Days Old: 21638
Debris ID: 20626 | Name: SL-16 DEB | Country: CIS | Orbit: LEO | Launch Year: 1990 | Longitude: 73.31951716 | Avg Longitude -41.96560243 | Geohash: "45.965,63.305" | Days Old: 12675
Debris ID: 13460 | Name: COSMOS 1275 DEB | Country: CIS | Orbit: LEO | Launch Year: 1981 | Longitude: 164.0172556 | Avg Longitude -50.78371491 | Geohash: "62.925556,40.577778" | Days Old: 15949
Debris ID: 26005 | Name: SL-14 DEB | Country: CIS | Orbit: LEO | Launch Year: 1991 | Longitude: 9.339711283 | Avg Longitude 22.61155748 | Geohash: "62.925556,40.577778" | Days Old: 12181
Debris ID: 35350 | Name: PSLV DEB | Country: IND | Orbit: LEO | Launch Year: 2001 | Longitude: -19.90037801 | Avg Longitude 94.22048479 | Geohash: "13.7178,80.2" | Days Old: 8504
Debris ID: 33558 | Name: ARIANE 2 DEB | Country: FR | Orbit: HEO | Launch Year: 1989 | Longitude: -166.7406377 | Avg Longitude 133.0162242 | Geohash: "5.222222,-52.773611" | Days Old: 13155
Debris ID: 38296 | Name: CZ-4C DEB | Country: PRC | Orbit: LEO | Launch Year: 2010 | Longitude: -91.65614593 | Avg Longitude -30.67934984 | Geohash: "38.849086,111.608497" | Days Old: 5204
Debris ID: 29210 | Name: SCOUT G-1 DEB | Country: US | Orbit: LEO | Launch Year: 1987 | Longitude: 0.0 | Avg Longitude 0.0 | Geohash: "34.742221,-120.57243" | Days Old: 13654
Debris ID: 48539 | Name: SL-12 DEB | Country: CIS | Orbit: HEO | Launch Year: 2008 | Longitude: 0.0 | Avg Longitude 0.0 | Geohash: "45.965,63.305" | Days Old: 5974
Debris ID: 31518 | Name: FENGYUN 1C DEB | Country: PRC | Orbit: LEO | Launch Year: 1999 | Longitude: 0.0 | Avg Longitude 0.0 | Geohash: "38.849086,111.608497" | Days Old: 9400
Debris ID: 30750 | Name: FENGYUN 1C DEB | Country: PRC | Orbit: LEO | Launch Year: 1999 | Longitude: -131.0859727 | Avg Longitude 149.0198411 | Geohash: "38.849086,111.608497" | Days Old: 9400
Debris ID: 40862 | Name: CZ-3C DEB | Country: PRC | Orbit: HEO | Launch Year: 2012 | Longitude: 0.0 | Avg Longitude 0.0 | Geohash: "28.246017,102.026556" | Days Old: 4727
